job_id,skill
SAMPLE-BONGTHOM-01419,Excel
SAMPLE-BONGTHOM-01419,Accounting
SAMPLE-BONGTHOM-01419,Finance
SAMPLE-BONGTHOM-01419,Leadership
SAMPLE-BONGTHOM-01419,Reporting
SAMPLE-BONGTHOM-01419,Power BI
SAMPLE-BONGTHOM-01419,Data Visualization
SAMPLE-BONGTHOM-01809,Excel
SAMPLE-BONGTHOM-01809,Accounting
SAMPLE-BONGTHOM-01809,Finance
SAMPLE-BONGTHOM-01809,Leadership
SAMPLE-BONGTHOM-01809,Reporting
SAMPLE-BONGTHOM-01809,Power BI
SAMPLE-BONGTHOM-01809,Data Visualization
SAMPLE-BONGTHOM-01029,Excel
SAMPLE-BONGTHOM-01029,Accounting
SAMPLE-BONGTHOM-01029,Finance
SAMPLE-BONGTHOM-01029,Leadership
SAMPLE-BONGTHOM-01029,Reporting
SAMPLE-BONGTHOM-01029,Power BI
SAMPLE-BONGTHOM-01029,Data Visualization
SAMPLE-BONGTHOM-01006,Microsoft Office
SAMPLE-BONGTHOM-01006,Excel
SAMPLE-BONGTHOM-01006,Accounting
SAMPLE-BONGTHOM-01006,Finance
SAMPLE-BONGTHOM-01006,QuickBooks
SAMPLE-BONGTHOM-01006,Problem Solving
SAMPLE-BONGTHOM-01006,Reporting
SAMPLE-BONGTHOM-01786,Microsoft Office
SAMPLE-BONGTHOM-01786,Excel
SAMPLE-BONGTHOM-01786,Accounting
SAMPLE-BONGTHOM-01786,Finance
SAMPLE-BONGTHOM-01786,QuickBooks
SAMPLE-BONGTHOM-01786,Problem Solving
SAMPLE-BONGTHOM-01786,Reporting
SAMPLE-BONGTHOM-01299,Excel
SAMPLE-BONGTHOM-01299,Accounting
SAMPLE-BONGTHOM-01299,Finance
SAMPLE-BONGTHOM-01299,Leadership
SAMPLE-BONGTHOM-01299,Reporting
SAMPLE-BONGTHOM-01299,Power BI
SAMPLE-BONGTHOM-01299,Data Visualization
SAMPLE-BONGTHOM-01689,Excel
SAMPLE-BONGTHOM-01689,Accounting
SAMPLE-BONGTHOM-01689,Finance
SAMPLE-BONGTHOM-01689,Leadership
SAMPLE-BONGTHOM-01689,Reporting
SAMPLE-BONGTHOM-01689,Power BI
SAMPLE-BONGTHOM-01689,Data Visualization
SAMPLE-BONGTHOM-01396,Microsoft Office
SAMPLE-BONGTHOM-01396,Excel
SAMPLE-BONGTHOM-01396,Accounting
SAMPLE-BONGTHOM-01396,Finance
SAMPLE-BONGTHOM-01396,QuickBooks
SAMPLE-BONGTHOM-01396,Problem Solving
SAMPLE-BONGTHOM-01396,Reporting
SAMPLE-BONGTHOM-01426,Microsoft Office
SAMPLE-BONGTHOM-01426,Excel
SAMPLE-BONGTHOM-01426,Accounting
SAMPLE-BONGTHOM-01426,Finance
SAMPLE-BONGTHOM-01426,QuickBooks
SAMPLE-BONGTHOM-01426,Problem Solving
SAMPLE-BONGTHOM-01426,Reporting
SAMPLE-BONGTHOM-01816,Microsoft Office
SAMPLE-BONGTHOM-01816,Excel
SAMPLE-BONGTHOM-01816,Accounting
SAMPLE-BONGTHOM-01816,Finance
SAMPLE-BONGTHOM-01816,QuickBooks
SAMPLE-BONGTHOM-01816,Problem Solving
SAMPLE-BONGTHOM-01816,Reporting
SAMPLE-BONGTHOM-01036,Microsoft Office
SAMPLE-BONGTHOM-01036,Excel
SAMPLE-BONGTHOM-01036,Accounting
SAMPLE-BONGTHOM-01036,Finance
SAMPLE-BONGTHOM-01036,QuickBooks
SAMPLE-BONGTHOM-01036,Problem Solving
SAMPLE-BONGTHOM-01036,Reporting
SAMPLE-BONGTHOM-01539,Excel
SAMPLE-BONGTHOM-01539,Accounting
SAMPLE-BONGTHOM-01539,Finance
SAMPLE-BONGTHOM-01539,Leadership
SAMPLE-BONGTHOM-01539,Reporting
SAMPLE-BONGTHOM-01539,Power BI
SAMPLE-BONGTHOM-01539,Data Visualization
SAMPLE-BONGTHOM-01149,Excel
SAMPLE-BONGTHOM-01149,Accounting
SAMPLE-BONGTHOM-01149,Finance
SAMPLE-BONGTHOM-01149,Leadership
SAMPLE-BONGTHOM-01149,Reporting
SAMPLE-BONGTHOM-01149,Power BI
SAMPLE-BONGTHOM-01149,Data Visualization
SAMPLE-BONGTHOM-01486,Microsoft Office
SAMPLE-BONGTHOM-01486,Excel
SAMPLE-BONGTHOM-01486,Accounting
SAMPLE-BONGTHOM-01486,Finance
SAMPLE-BONGTHOM-01486,QuickBooks
SAMPLE-BONGTHOM-01486,Problem Solving
SAMPLE-BONGTHOM-01486,Reporting
SAMPLE-BONGTHOM-01306,Microsoft Office
SAMPLE-BONGTHOM-01306,Excel
SAMPLE-BONGTHOM-01306,Accounting
SAMPLE-BONGTHOM-01306,Finance
SAMPLE-BONGTHOM-01306,QuickBooks
SAMPLE-BONGTHOM-01306,Problem Solving
SAMPLE-BONGTHOM-01306,Reporting
SAMPLE-BONGTHOM-01096,Microsoft Office
SAMPLE-BONGTHOM-01096,Excel
SAMPLE-BONGTHOM-01096,Accounting
SAMPLE-BONGTHOM-01096,Finance
SAMPLE-BONGTHOM-01096,QuickBooks
SAMPLE-BONGTHOM-01096,Problem Solving
SAMPLE-BONGTHOM-01096,Reporting
SAMPLE-BONGTHOM-01696,Microsoft Office
SAMPLE-BONGTHOM-01696,Excel
SAMPLE-BONGTHOM-01696,Accounting
SAMPLE-BONGTHOM-01696,Finance
SAMPLE-BONGTHOM-01696,QuickBooks
SAMPLE-BONGTHOM-01696,Problem Solving
SAMPLE-BONGTHOM-01696,Reporting
SAMPLE-BONGTHOM-01126,Microsoft Office
SAMPLE-BONGTHOM-01126,Excel
SAMPLE-BONGTHOM-01126,Accounting
SAMPLE-BONGTHOM-01126,Finance
SAMPLE-BONGTHOM-01126,QuickBooks
SAMPLE-BONGTHOM-01126,Problem Solving
SAMPLE-BONGTHOM-01126,Reporting
SAMPLE-BONGTHOM-01516,Microsoft Office
SAMPLE-BONGTHOM-01516,Excel
SAMPLE-BONGTHOM-01516,Accounting
SAMPLE-BONGTHOM-01516,Finance
SAMPLE-BONGTHOM-01516,QuickBooks
SAMPLE-BONGTHOM-01516,Problem Solving
SAMPLE-BONGTHOM-01516,Reporting
SAMPLE-BONGTHOM-01239,Excel
SAMPLE-BONGTHOM-01239,Accounting
SAMPLE-BONGTHOM-01239,Finance
SAMPLE-BONGTHOM-01239,Leadership
SAMPLE-BONGTHOM-01239,Reporting
SAMPLE-BONGTHOM-01239,Power BI
SAMPLE-BONGTHOM-01239,Data Visualization
SAMPLE-BONGTHOM-01629,Excel
SAMPLE-BONGTHOM-01629,Accounting
SAMPLE-BONGTHOM-01629,Finance
SAMPLE-BONGTHOM-01629,Leadership
SAMPLE-BONGTHOM-01629,Reporting
SAMPLE-BONGTHOM-01629,Power BI
SAMPLE-BONGTHOM-01629,Data Visualization
SAMPLE-BONGTHOM-01359,Excel
SAMPLE-BONGTHOM-01359,Accounting
SAMPLE-BONGTHOM-01359,Finance
SAMPLE-BONGTHOM-01359,Leadership
SAMPLE-BONGTHOM-01359,Reporting
SAMPLE-BONGTHOM-01359,Power BI
SAMPLE-BONGTHOM-01359,Data Visualization
SAMPLE-BONGTHOM-00969,Excel
SAMPLE-BONGTHOM-00969,Accounting
SAMPLE-BONGTHOM-00969,Finance
SAMPLE-BONGTHOM-00969,Leadership
SAMPLE-BONGTHOM-00969,Reporting
SAMPLE-BONGTHOM-00969,Power BI
SAMPLE-BONGTHOM-00969,Data Visualization
SAMPLE-BONGTHOM-01749,Excel
SAMPLE-BONGTHOM-01749,Accounting
SAMPLE-BONGTHOM-01749,Finance
SAMPLE-BONGTHOM-01749,Leadership
SAMPLE-BONGTHOM-01749,Reporting
SAMPLE-BONGTHOM-01749,Power BI
SAMPLE-BONGTHOM-01749,Data Visualization
SAMPLE-BONGTHOM-01179,Excel
SAMPLE-BONGTHOM-01179,Accounting
SAMPLE-BONGTHOM-01179,Finance
SAMPLE-BONGTHOM-01179,Leadership
SAMPLE-BONGTHOM-01179,Reporting
SAMPLE-BONGTHOM-01179,Power BI
SAMPLE-BONGTHOM-01179,Data Visualization
SAMPLE-BONGTHOM-01569,Excel
SAMPLE-BONGTHOM-01569,Accounting
SAMPLE-BONGTHOM-01569,Finance
SAMPLE-BONGTHOM-01569,Leadership
SAMPLE-BONGTHOM-01569,Reporting
SAMPLE-BONGTHOM-01569,Power BI
SAMPLE-BONGTHOM-01569,Data Visualization
SAMPLE-BONGTHOM-01546,Microsoft Office
SAMPLE-BONGTHOM-01546,Excel
SAMPLE-BONGTHOM-01546,Accounting
SAMPLE-BONGTHOM-01546,Finance
SAMPLE-BONGTHOM-01546,QuickBooks
SAMPLE-BONGTHOM-01546,Problem Solving
SAMPLE-BONGTHOM-01546,Reporting
SAMPLE-BONGTHOM-01156,Microsoft Office
SAMPLE-BONGTHOM-01156,Excel
SAMPLE-BONGTHOM-01156,Accounting
SAMPLE-BONGTHOM-01156,Finance
SAMPLE-BONGTHOM-01156,QuickBooks
SAMPLE-BONGTHOM-01156,Problem Solving
SAMPLE-BONGTHOM-01156,Reporting
SAMPLE-BONGTHOM-01846,Microsoft Office
SAMPLE-BONGTHOM-01846,Excel
SAMPLE-BONGTHOM-01846,Accounting
SAMPLE-BONGTHOM-01846,Finance
SAMPLE-BONGTHOM-01846,QuickBooks
SAMPLE-BONGTHOM-01846,Problem Solving
SAMPLE-BONGTHOM-01846,Reporting
SAMPLE-BONGTHOM-01066,Microsoft Office
SAMPLE-BONGTHOM-01066,Excel
SAMPLE-BONGTHOM-01066,Accounting
SAMPLE-BONGTHOM-01066,Finance
SAMPLE-BONGTHOM-01066,QuickBooks
SAMPLE-BONGTHOM-01066,Problem Solving
SAMPLE-BONGTHOM-01066,Reporting
SAMPLE-BONGTHOM-01456,Microsoft Office
SAMPLE-BONGTHOM-01456,Excel
SAMPLE-BONGTHOM-01456,Accounting
SAMPLE-BONGTHOM-01456,Finance
SAMPLE-BONGTHOM-01456,QuickBooks
SAMPLE-BONGTHOM-01456,Problem Solving
SAMPLE-BONGTHOM-01456,Reporting
SAMPLE-BONGTHOM-01366,Microsoft Office
SAMPLE-BONGTHOM-01366,Excel
SAMPLE-BONGTHOM-01366,Accounting
SAMPLE-BONGTHOM-01366,Finance
SAMPLE-BONGTHOM-01366,QuickBooks
SAMPLE-BONGTHOM-01366,Problem Solving
SAMPLE-BONGTHOM-01366,Reporting
SAMPLE-BONGTHOM-01666,Microsoft Office
SAMPLE-BONGTHOM-01666,Excel
SAMPLE-BONGTHOM-01666,Accounting
SAMPLE-BONGTHOM-01666,Finance
SAMPLE-BONGTHOM-01666,QuickBooks
SAMPLE-BONGTHOM-01666,Problem Solving
SAMPLE-BONGTHOM-01666,Reporting
SAMPLE-BONGTHOM-00999,Excel
SAMPLE-BONGTHOM-00999,Accounting
SAMPLE-BONGTHOM-00999,Finance
SAMPLE-BONGTHOM-00999,Leadership
SAMPLE-BONGTHOM-00999,Reporting
SAMPLE-BONGTHOM-00999,Power BI
SAMPLE-BONGTHOM-00999,Data Visualization
SAMPLE-BONGTHOM-01479,Excel
SAMPLE-BONGTHOM-01479,Accounting
SAMPLE-BONGTHOM-01479,Finance
