job_id,skill_id,skill
SAMPLE-BONGTHOM-00927,1,API Development
SAMPLE-BONGTHOM-00957,1,API Development
SAMPLE-BONGTHOM-00987,1,API Development
SAMPLE-BONGTHOM-01017,1,API Development
SAMPLE-BONGTHOM-01047,1,API Development
SAMPLE-BONGTHOM-01077,1,API Development
SAMPLE-BONGTHOM-01107,1,API Development
SAMPLE-BONGTHOM-01137,1,API Development
SAMPLE-BONGTHOM-01167,1,API Development
SAMPLE-BONGTHOM-01197,1,API Development
SAMPLE-BONGTHOM-01227,1,API Development
SAMPLE-BONGTHOM-01257,1,API Development
SAMPLE-BONGTHOM-01287,1,API Development
SAMPLE-BONGTHOM-01317,1,API Development
SAMPLE-BONGTHOM-01347,1,API Development
SAMPLE-BONGTHOM-01377,1,API Development
SAMPLE-BONGTHOM-01407,1,API Development
SAMPLE-BONGTHOM-01437,1,API Development
SAMPLE-BONGTHOM-01467,1,API Development
SAMPLE-BONGTHOM-01497,1,API Development
SAMPLE-BONGTHOM-01527,1,API Development
SAMPLE-BONGTHOM-01557,1,API Development
SAMPLE-BONGTHOM-01587,1,API Development
SAMPLE-BONGTHOM-01617,1,API Development
SAMPLE-BONGTHOM-01647,1,API Development
SAMPLE-BONGTHOM-01677,1,API Development
SAMPLE-BONGTHOM-01707,1,API Development
SAMPLE-BONGTHOM-01737,1,API Development
SAMPLE-BONGTHOM-01767,1,API Development
SAMPLE-BONGTHOM-01797,1,API Development
SAMPLE-BONGTHOM-01827,1,API Development
SAMPLE-CAMHR-01857,1,API Development
SAMPLE-CAMHR-01887,1,API Development
SAMPLE-CAMHR-01917,1,API Development
SAMPLE-CAMHR-01947,1,API Development
SAMPLE-CAMHR-01977,1,API Development
SAMPLE-CAMHR-02007,1,API Development
SAMPLE-CAMHR-02037,1,API Development
SAMPLE-CAMHR-02067,1,API Development
SAMPLE-CAMHR-02097,1,API Development
SAMPLE-CAMHR-02127,1,API Development
SAMPLE-CAMHR-02157,1,API Development
SAMPLE-CAMHR-02187,1,API Development
SAMPLE-CAMHR-02217,1,API Development
SAMPLE-CAMHR-02247,1,API Development
SAMPLE-CAMHR-02277,1,API Development
SAMPLE-CAMHR-02307,1,API Development
SAMPLE-CAMHR-02337,1,API Development
SAMPLE-CAMHR-02367,1,API Development
SAMPLE-CAMHR-02397,1,API Development
SAMPLE-CAMHR-02427,1,API Development
SAMPLE-CAMHR-02457,1,API Development
SAMPLE-CAMHR-02487,1,API Development
SAMPLE-CAMHR-02517,1,API Development
SAMPLE-CAMHR-02547,1,API Development
SAMPLE-CAMHR-02577,1,API Development
SAMPLE-CAMHR-02607,1,API Development
SAMPLE-CAMHR-02637,1,API Development
SAMPLE-CAMHR-02667,1,API Development
SAMPLE-CAMHR-02697,1,API Development
SAMPLE-CAMHR-02727,1,API Development
SAMPLE-CAMHR-02757,1,API Development
SAMPLE-CAMMA-HR-11097,1,API Development
SAMPLE-CAMMA-HR-11127,1,API Development
SAMPLE-CAMMA-HR-11157,1,API Development
SAMPLE-CAMMA-HR-11187,1,API Development
SAMPLE-CAMMA-HR-11217,1,API Development
SAMPLE-CAMMA-HR-11247,1,API Development
SAMPLE-CAMMA-HR-11277,1,API Development
SAMPLE-CAMMA-HR-11307,1,API Development
SAMPLE-CAMMA-HR-11337,1,API Development
SAMPLE-CAMMA-HR-11367,1,API Development
SAMPLE-CAMMA-HR-11397,1,API Development
SAMPLE-CAMMA-HR-11427,1,API Development
SAMPLE-CAMMA-HR-11457,1,API Development
SAMPLE-CAMMA-HR-11487,1,API Development
SAMPLE-CAMMA-HR-11517,1,API Development
SAMPLE-CAMMA-HR-11547,1,API Development
SAMPLE-CAMMA-HR-11577,1,API Development
SAMPLE-CAMMA-HR-11607,1,API Development
SAMPLE-CAMMA-HR-11637,1,API Development
SAMPLE-CAMMA-HR-11667,1,API Development
SAMPLE-CAMMA-HR-11697,1,API Development
SAMPLE-CAMMA-HR-11727,1,API Development
SAMPLE-CAMMA-HR-11757,1,API Development
SAMPLE-CAMMA-HR-11787,1,API Development
SAMPLE-CAMMA-HR-11817,1,API Development
SAMPLE-CAMMA-HR-11847,1,API Development
SAMPLE-CAMMA-HR-11877,1,API Development
SAMPLE-CAMMA-HR-11907,1,API Development
SAMPLE-CAMMA-HR-11937,1,API Development
SAMPLE-CAMMA-HR-11967,1,API Development
SAMPLE-CAMMA-HR-11997,1,API Development
SAMPLE-CAMUP-JOB-09297,1,API Development
SAMPLE-CAMUP-JOB-09327,1,API Development
SAMPLE-CAMUP-JOB-09357,1,API Development
SAMPLE-CAMUP-JOB-09387,1,API Development
SAMPLE-CAMUP-JOB-09417,1,API Development
SAMPLE-CAMUP-JOB-09447,1,API Development
SAMPLE-CAMUP-JOB-09477,1,API Development
SAMPLE-CAMUP-JOB-09507,1,API Development
SAMPLE-CAMUP-JOB-09537,1,API Development
SAMPLE-CAMUP-JOB-09567,1,API Development
SAMPLE-CAMUP-JOB-09597,1,API Development
SAMPLE-CAMUP-JOB-09627,1,API Development
SAMPLE-CAMUP-JOB-09657,1,API Development
SAMPLE-CAMUP-JOB-09687,1,API Development
SAMPLE-CAMUP-JOB-09717,1,API Development
SAMPLE-CAMUP-JOB-09747,1,API Development
SAMPLE-CAMUP-JOB-09777,1,API Development
SAMPLE-CAMUP-JOB-09807,1,API Development
SAMPLE-CAMUP-JOB-09837,1,API Development
SAMPLE-CAMUP-JOB-09867,1,API Development
SAMPLE-CAMUP-JOB-09897,1,API Development
SAMPLE-CAMUP-JOB-09927,1,API Development
SAMPLE-CAMUP-JOB-09957,1,API Development
SAMPLE-CAMUP-JOB-09987,1,API Development
SAMPLE-CAMUP-JOB-10017,1,API Development
SAMPLE-CAMUP-JOB-10047,1,API Development
SAMPLE-CAMUP-JOB-10077,1,API Development
SAMPLE-CAMUP-JOB-10107,1,API Development
SAMPLE-CAMUP-JOB-10137,1,API Development
